Source,Harga Lama,Harga Baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/168421-OMG-thats-Me.html,Rp 45.800,,OMG thats Me,9786232447936,Psikologi Corner ,Desember - 2021,-,250 gr,Soft Cover,-,Psikologi,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168938-Jurus-Ampuh-Memperbaiki-Cacat-Kepribadian.html,Rp 59.000,,Jurus Ampuh Memperbaiki Cacat Kepribadian,9786237162957,Gemilang ,Juli - 2022,200,350 gr,Soft Cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Buku-Teks/Kedokteran/168960-Mims-Edisi-Bahasa-Indonesia-Vol.23-Tahun-2022.html,Rp 165.000,,Mims Edisi Bahasa Indonesia Vol.23 Tahun 2022,977190761420123,Bhuana Ilmu Populer ,Juni - 2022,396,450 gr,soft cover,-,Kedokteran,-,Indonesia ·
https://www.bukukita.com/Agama/Islam/168988-Akhlaqul-Karimah.html,Rp 87.000,,Akhlaqul Karimah (Cover Baru),9789799959546,Gema Insani ,Agustus - 2022,-,300 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/168999-Di-Bawah-Lindungan-Kabah.html,Rp 55.000,,Di Bawah Lindungan Ka'bah,9786022504177,Gema Insani ,Agustus - 2022,-,135 gr,Soft Cover,15x20mm,Islam,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/169017-Bohong-Di-Dunia.html,Rp 52.000,,Bohong Di Dunia (Cover Baru),9786022503828,Gema Insani ,Agustus - 2022,144,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Fiksi/169019-Menunggu-Beduk-Berbunyi.html,Rp 52.000,,Menunggu Beduk Berbunyi (cover Baru),9786022503842,Gema Insani ,Agustus - 2022,-,130 gr,Soft Cover,15x20mm,Fiksi,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Fiksi/169050-Tenggelamnya-Kapal-Van-der-Wijck.html,Rp 90.000,,Tenggelamnya Kapal Van der Wijck (Cover Baru),9786022504160,Gema Insani ,Agustus - 2022,-,300 gr,Soft Cover,15x20mm,Fiksi,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Sejarah-Dunia/169264-Alexandria.html,Rp 89.000,,Alexandria (Cover Baru),9786232201361,Alvabet ,Agustus - 2022,-,305 gr,Soft Cover,13x23mm,Sejarah Dunia,-,Indonesia ··
https://www.bukukita.com/Sejarah-dan-Budaya/Sejarah-Dunia/169265-Andalusia.html,Rp 199.000,,Andalusia,9786232201347,Alvabet ,Agustus - 2022,-,875 gr,Hard Cover,15x24mm,Sejarah Dunia,-,Indonesia ··
